TTvNJZiMm4UA2R9xFmMWs3DugzFH9UgNJV, USDT balance: 10342865651, TRX balance: 9134062941, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TBcMZ5R1picK7CTryigqvgzsk6bhQELjCy, USDT balance: 1117000000, TRX balance: 12310768961, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TVFEsE1nssSbJPvocrqPg5ocDu43ZLGeYA, USDT balance: 100000000, TRX balance: 97308202, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TGT7UUozwg5UicrhSHNhx6fr7uVBcdzmKF, USDT balance: 6710280000, TRX balance: 119913803, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TLaAZyZANjXjDyUtLguYsmgxBkK331PnJK, USDT balance: 18031260000, TRX balance: 60437436, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TW7v9amaDs5No5onVz3DUNHScFeukJ6wnf, USDT balance: 1899000000, TRX balance: 83912302, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TL4Q6M6Ez5Snaz39Fda9cg3p4Bc1CWnKpi, USDT balance: 1091800000, TRX balance: 47308211, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TQRikYcR6K38PobbaQYS1CrPA8mPdLxbiY, USDT balance: 6317000000, TRX balance: 36886785, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TQa2Amc2YbnHkrXToLib5Kg2Mxr8pQfTfZ, USDT balance: 30170000, TRX balance: 106171402, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TJiY3AWsRsi73noGpGkL2zC4fFEzPYsNmn, USDT balance: 2726990746, TRX balance: 36913582, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TLUeyks3tqVLfbXSqJzfCbtssegMqhWeHC, USDT balance: 500000000, TRX balance: 36704104, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TArZqkVP6mzKZnGkgA6nihZaGqsm56xmjv, USDT balance: 3127396, TRX balance: 36100000, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TVtYXbdC3Ts2kHJeKtLFMRCiG6X5GsJJXJ, USDT balance: 4999000000, TRX balance: 36704100, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
TJ7qDUcrgamc4q4HLnn7GbuiE7DZqXmiJu, USDT balance: 7700000000, TRX balance: 51832030, needsConsolidation: true, tokenConsolidationState.trx:usdt: true
