5ZqfvRaayz2S9FNhLagSS4uSzGdtLt3M8NHQA9ScGnqF, SOL balance: 0, needsConsolidation: false
FfDgqsBK4D8mmhny1yrVcPeivkqRnwvf2igjmHWFSymp, SOL balance: 0, needsConsolidation: false
A5KWBi6RpPNZo3YXeghkBmTVjPgKVVzmaK26LCB4ZxtL, SOL balance: 0, needsConsolidation: false
79ziFoojRAHDpFwnTFU1ad1UYptaVWTqZBAFKcz6oLaB, SOL balance: 0, needsConsolidation: false
59HC3bHMgMrz9BZtuznhTfevQNSBKYHpLwo5y5zXeK8d, SOL balance: 0, needsConsolidation: false
CsLQ4sR9PqxiqkMCqfRYNz7WnHmKKEDjeu9YGWfmvq2J, SOL balance: 0, needsConsolidation: false
2dAjQ2yFQnkaZwQRtsKPmg61JiBgL5oay3B6Pw8TwppT, SOL balance: 0, needsConsolidation: false
6q7rkBvG6owLCwHZSAVRZva5UERr3uNjEYQAhXfdECdj, SOL balance: 0, needsConsolidation: true
FmYuMZ7eU5FrK3ZzmnmpKcxXbQnmVX9DdHGtfFTi1EuH, SOL balance: 0, needsConsolidation: false
9mcqi27tU7hU3qcsQkAUuNKDBo6d6ME7rXZh6z46PfVq, SOL balance: 0, needsConsolidation: false
E66At4zGayiXnqESGmmv2PJZEfbuyfusDFyrfNyRKoDF, SOL balance: 0, needsConsolidation: false
98b39uy7TSGFUhWzPTYgbtKfvHKHAWN3q5ERTY6343BW, SOL balance: 0, needsConsolidation: false
6bMuLdEyDW9xMpV93mdTejdYsSJRWXhvkxnaKMSJsLkb, SOL balance: 0, needsConsolidation: true
CmcAcRxDV3VPjDxQcQgvfUcGXvdkduZe9DFadsxiiQp1, SOL balance: 0, needsConsolidation: false
ExpqBzDQUzKuTJyk6qzxrE7Q9aE4heT9385aCofJKSAu, SOL balance: 0, needsConsolidation: false
5EgE4N5R8WjfXMnLtdktVzBvEQbfNUyHJuwXTjkF2uRH, SOL balance: 552864, needsConsolidation: true
EYq9Hqp4xJbuzxRqvyHaTEMAK79GbNXCAwA5Dmd4b6ZL, SOL balance: 0, needsConsolidation: false
BdeJQkcyu7uKi96CWGczCQztMGw9RcEDj5XJd1cfR92d, SOL balance: 0, needsConsolidation: false
8fsHjdUEEoBPRUbnMnjvpiueyePSbRv9ehbRHd549k1c, SOL balance: 0, needsConsolidation: false
Du9qdngcSWtUqSy9t6MgsikwQ7LkfoYwqzQdZyuupeh7, SOL balance: 0, needsConsolidation: false
3Df5qRFufZkptv8ocZy6RpELqGDqacfg9cz5WN2ToYyD, SOL balance: 0, needsConsolidation: false
